Iteratie 2 - Start time: Mon Apr 14 12:32:26 UTC 2025
Iteratie 2 - Fase: Aanmaken - Mon Apr 14 12:32:26 UTC 2025
NAME                        CREATIONTIME
test15                      2025-04-14T12:32:26Z
mail-deployment-test13      2025-04-14T12:32:26Z
mail-deployment-test12      2025-04-14T12:32:26Z
sms-deployment-test1        2025-04-14T12:32:26Z
mail-deployment-test14      2025-04-14T12:32:26Z
sms-deployment-test10       2025-04-14T12:32:26Z
test3                       2025-04-14T12:32:26Z
test21                      2025-04-14T12:32:26Z
test20                      2025-04-14T12:32:26Z
web-deployment-test14       2025-04-14T12:32:26Z
web-deployment-test13       2025-04-14T12:32:26Z
test2                       2025-04-14T12:32:26Z
test19                      2025-04-14T12:32:26Z
test18                      2025-04-14T12:32:26Z
test17                      2025-04-14T12:32:26Z
test16                      2025-04-14T12:32:26Z
storage-deployment-test11   2025-04-14T12:32:26Z
mail-deployment-test11      2025-04-14T12:32:26Z
test4                       2025-04-14T12:32:26Z
sms-deployment-test11       2025-04-14T12:32:26Z
sms-deployment-test12       2025-04-14T12:32:26Z
sms-deployment-test13       2025-04-14T12:32:26Z
web-deployment-test12       2025-04-14T12:32:26Z
web-deployment-test11       2025-04-14T12:32:26Z
web-deployment-test10       2025-04-14T12:32:26Z
web-deployment-test1        2025-04-14T12:32:26Z
mail-deployment-test1       2025-04-14T12:32:26Z
test14                      2025-04-14T12:32:26Z
test13                      2025-04-14T12:32:26Z
test12                      2025-04-14T12:32:26Z
test11                      2025-04-14T12:32:26Z
test10                      2025-04-14T12:32:26Z
test1                       2025-04-14T12:32:26Z
storage-deployment-test1    2025-04-14T12:32:26Z
mail-deployment-test10      2025-04-14T12:32:26Z
web-service-test13          2025-04-14T12:32:27Z
web-service-test11          2025-04-14T12:32:27Z
web-service-test10          2025-04-14T12:32:27Z
web-service-test1           2025-04-14T12:32:27Z
storage-service-test14      2025-04-14T12:32:27Z
storage-service-test13      2025-04-14T12:32:27Z
storage-service-test12      2025-04-14T12:32:27Z
web-service-test12          2025-04-14T12:32:27Z
storage-deployment-test10   2025-04-14T12:32:27Z
web-service-test14          2025-04-14T12:32:27Z
storage-deployment-test12   2025-04-14T12:32:27Z
storage-deployment-test13   2025-04-14T12:32:27Z
storage-deployment-test14   2025-04-14T12:32:27Z
storage-service-test11      2025-04-14T12:32:27Z
storage-service-test10      2025-04-14T12:32:27Z
storage-service-test1       2025-04-14T12:32:27Z
sms-service-test14          2025-04-14T12:32:27Z
sms-service-test13          2025-04-14T12:32:27Z
sms-service-test12          2025-04-14T12:32:27Z
sms-service-test11          2025-04-14T12:32:27Z
sms-service-test10          2025-04-14T12:32:27Z
sms-service-test1           2025-04-14T12:32:27Z
sms-deployment-test14       2025-04-14T12:32:27Z
mail-service-test14         2025-04-14T12:32:27Z
mail-service-test13         2025-04-14T12:32:27Z
mail-service-test12         2025-04-14T12:32:27Z
mail-service-test11         2025-04-14T12:32:27Z
mail-service-test10         2025-04-14T12:32:27Z
test5                       2025-04-14T12:32:27Z
test6                       2025-04-14T12:32:27Z
test7                       2025-04-14T12:32:27Z
test8                       2025-04-14T12:32:27Z
test9                       2025-04-14T12:32:27Z
mail-service-test1          2025-04-14T12:32:27Z
mail-service-test2          2025-04-14T12:32:28Z
storage-deployment-test2    2025-04-14T12:32:28Z
web-deployment-test17       2025-04-14T12:32:28Z
web-deployment-test18       2025-04-14T12:32:28Z
web-deployment-test19       2025-04-14T12:32:28Z
web-deployment-test2        2025-04-14T12:32:28Z
mail-deployment-test15      2025-04-14T12:32:28Z
mail-deployment-test16      2025-04-14T12:32:28Z
mail-deployment-test17      2025-04-14T12:32:28Z
mail-deployment-test18      2025-04-14T12:32:28Z
mail-deployment-test19      2025-04-14T12:32:28Z
mail-deployment-test2       2025-04-14T12:32:28Z
sms-deployment-test15       2025-04-14T12:32:28Z
sms-deployment-test16       2025-04-14T12:32:28Z
sms-deployment-test17       2025-04-14T12:32:28Z
web-deployment-test15       2025-04-14T12:32:28Z
sms-deployment-test18       2025-04-14T12:32:28Z
sms-deployment-test19       2025-04-14T12:32:28Z
sms-deployment-test2        2025-04-14T12:32:28Z
web-deployment-test16       2025-04-14T12:32:28Z
web-service-test18          2025-04-14T12:32:28Z
mail-service-test15         2025-04-14T12:32:28Z
mail-service-test16         2025-04-14T12:32:28Z
mail-service-test17         2025-04-14T12:32:28Z
mail-service-test18         2025-04-14T12:32:28Z
web-service-test17          2025-04-14T12:32:28Z
web-service-test16          2025-04-14T12:32:28Z
web-service-test15          2025-04-14T12:32:28Z
storage-service-test15      2025-04-14T12:32:28Z
storage-deployment-test15   2025-04-14T12:32:28Z
storage-deployment-test16   2025-04-14T12:32:28Z
storage-deployment-test17   2025-04-14T12:32:28Z
sms-service-test18          2025-04-14T12:32:28Z
sms-service-test16          2025-04-14T12:32:28Z
sms-service-test15          2025-04-14T12:32:28Z
storage-deployment-test18   2025-04-14T12:32:28Z
storage-deployment-test19   2025-04-14T12:32:28Z
web-service-test19          2025-04-14T12:32:29Z
sms-deployment-test6        2025-04-14T12:32:29Z
storage-deployment-test21   2025-04-14T12:32:29Z
storage-deployment-test3    2025-04-14T12:32:29Z
web-deployment-test20       2025-04-14T12:32:29Z
web-deployment-test21       2025-04-14T12:32:29Z
web-deployment-test3        2025-04-14T12:32:29Z
sms-service-test17          2025-04-14T12:32:29Z
web-deployment-test4        2025-04-14T12:32:29Z
sms-service-test19          2025-04-14T12:32:29Z
sms-service-test2           2025-04-14T12:32:29Z
web-deployment-test5        2025-04-14T12:32:29Z
web-deployment-test6        2025-04-14T12:32:29Z
mail-deployment-test20      2025-04-14T12:32:29Z
mail-deployment-test21      2025-04-14T12:32:29Z
mail-deployment-test3       2025-04-14T12:32:29Z
mail-deployment-test4       2025-04-14T12:32:29Z
mail-deployment-test5       2025-04-14T12:32:29Z
mail-deployment-test6       2025-04-14T12:32:29Z
web-service-test20          2025-04-14T12:32:29Z
web-service-test2           2025-04-14T12:32:29Z
storage-deployment-test20   2025-04-14T12:32:29Z
storage-deployment-test6    2025-04-14T12:32:29Z
mail-service-test19         2025-04-14T12:32:29Z
storage-deployment-test4    2025-04-14T12:32:29Z
mail-service-test20         2025-04-14T12:32:29Z
sms-deployment-test20       2025-04-14T12:32:29Z
storage-service-test16      2025-04-14T12:32:29Z
storage-service-test17      2025-04-14T12:32:29Z
storage-service-test18      2025-04-14T12:32:29Z
storage-service-test19      2025-04-14T12:32:29Z
storage-service-test2       2025-04-14T12:32:29Z
sms-deployment-test21       2025-04-14T12:32:29Z
sms-deployment-test3        2025-04-14T12:32:29Z
sms-deployment-test4        2025-04-14T12:32:29Z
sms-deployment-test5        2025-04-14T12:32:29Z
mail-service-test4          2025-04-14T12:32:30Z
web-service-test7           2025-04-14T12:32:30Z
storage-service-test7       2025-04-14T12:32:30Z
mail-service-test9          2025-04-14T12:32:30Z
mail-service-test8          2025-04-14T12:32:30Z
storage-service-test5       2025-04-14T12:32:30Z
storage-service-test4       2025-04-14T12:32:30Z
storage-service-test3       2025-04-14T12:32:30Z
storage-service-test21      2025-04-14T12:32:30Z
storage-service-test20      2025-04-14T12:32:30Z
mail-service-test21         2025-04-14T12:32:30Z
sms-deployment-test7        2025-04-14T12:32:30Z
sms-deployment-test8        2025-04-14T12:32:30Z
sms-deployment-test9        2025-04-14T12:32:30Z
storage-deployment-test5    2025-04-14T12:32:30Z
mail-service-test3          2025-04-14T12:32:30Z
mail-service-test5          2025-04-14T12:32:30Z
mail-service-test7          2025-04-14T12:32:30Z
web-service-test21          2025-04-14T12:32:30Z
web-service-test3           2025-04-14T12:32:30Z
web-service-test4           2025-04-14T12:32:30Z
web-service-test5           2025-04-14T12:32:30Z
web-service-test6           2025-04-14T12:32:30Z
