Iteratie 3 - Start time: Mon Apr 14 12:33:42 UTC 2025
Iteratie 3 - Fase: Aanmaken - Mon Apr 14 12:33:42 UTC 2025
NAME                        CREATIONTIME
test10                      2025-04-14T12:33:43Z
web-deployment-test12       2025-04-14T12:33:43Z
mail-deployment-test11      2025-04-14T12:33:43Z
mail-deployment-test12      2025-04-14T12:33:43Z
mail-deployment-test13      2025-04-14T12:33:43Z
mail-deployment-test14      2025-04-14T12:33:43Z
sms-deployment-test1        2025-04-14T12:33:43Z
sms-deployment-test10       2025-04-14T12:33:43Z
sms-deployment-test11       2025-04-14T12:33:43Z
sms-deployment-test12       2025-04-14T12:33:43Z
sms-deployment-test13       2025-04-14T12:33:43Z
mail-service-test10         2025-04-14T12:33:43Z
mail-service-test11         2025-04-14T12:33:43Z
mail-service-test12         2025-04-14T12:33:43Z
mail-service-test13         2025-04-14T12:33:43Z
mail-service-test14         2025-04-14T12:33:43Z
mail-deployment-test1       2025-04-14T12:33:43Z
test9                       2025-04-14T12:33:43Z
test8                       2025-04-14T12:33:43Z
test7                       2025-04-14T12:33:43Z
test6                       2025-04-14T12:33:43Z
sms-deployment-test14       2025-04-14T12:33:43Z
sms-service-test1           2025-04-14T12:33:43Z
test5                       2025-04-14T12:33:43Z
test4                       2025-04-14T12:33:43Z
test3                       2025-04-14T12:33:43Z
test21                      2025-04-14T12:33:43Z
test20                      2025-04-14T12:33:43Z
test2                       2025-04-14T12:33:43Z
mail-service-test1          2025-04-14T12:33:43Z
test18                      2025-04-14T12:33:43Z
test17                      2025-04-14T12:33:43Z
test16                      2025-04-14T12:33:43Z
test15                      2025-04-14T12:33:43Z
web-service-test14          2025-04-14T12:33:43Z
test13                      2025-04-14T12:33:43Z
test12                      2025-04-14T12:33:43Z
test11                      2025-04-14T12:33:43Z
test19                      2025-04-14T12:33:43Z
mail-deployment-test10      2025-04-14T12:33:43Z
test14                      2025-04-14T12:33:43Z
web-service-test13          2025-04-14T12:33:43Z
storage-deployment-test1    2025-04-14T12:33:43Z
storage-deployment-test10   2025-04-14T12:33:43Z
storage-deployment-test11   2025-04-14T12:33:43Z
storage-deployment-test12   2025-04-14T12:33:43Z
storage-deployment-test13   2025-04-14T12:33:43Z
storage-deployment-test14   2025-04-14T12:33:43Z
web-service-test12          2025-04-14T12:33:43Z
web-service-test11          2025-04-14T12:33:43Z
web-service-test10          2025-04-14T12:33:43Z
web-service-test1           2025-04-14T12:33:43Z
web-deployment-test14       2025-04-14T12:33:43Z
web-deployment-test13       2025-04-14T12:33:43Z
test1                       2025-04-14T12:33:43Z
web-deployment-test11       2025-04-14T12:33:43Z
web-deployment-test10       2025-04-14T12:33:43Z
web-deployment-test1        2025-04-14T12:33:43Z
sms-service-test14          2025-04-14T12:33:43Z
sms-service-test10          2025-04-14T12:33:43Z
mail-deployment-test15      2025-04-14T12:33:44Z
sms-service-test13          2025-04-14T12:33:44Z
sms-deployment-test15       2025-04-14T12:33:44Z
web-deployment-test15       2025-04-14T12:33:44Z
storage-service-test10      2025-04-14T12:33:44Z
storage-service-test11      2025-04-14T12:33:44Z
storage-service-test12      2025-04-14T12:33:44Z
sms-service-test11          2025-04-14T12:33:44Z
storage-service-test14      2025-04-14T12:33:44Z
storage-service-test13      2025-04-14T12:33:44Z
storage-service-test1       2025-04-14T12:33:44Z
web-deployment-test17       2025-04-14T12:33:44Z
mail-deployment-test2       2025-04-14T12:33:44Z
mail-deployment-test19      2025-04-14T12:33:44Z
mail-deployment-test18      2025-04-14T12:33:44Z
mail-deployment-test17      2025-04-14T12:33:44Z
