Iteratie 1 - Start time: Mon Apr 14 12:31:12 UTC 2025
Iteratie 1 - Fase: Aanmaken - Mon Apr 14 12:31:12 UTC 2025
NAME                        CREATIONTIME
test1                       2025-04-14T12:31:12Z
test2                       2025-04-14T12:31:12Z
mail-deployment-test11      2025-04-14T12:31:12Z
mail-deployment-test12      2025-04-14T12:31:12Z
test11                      2025-04-14T12:31:12Z
test10                      2025-04-14T12:31:12Z
mail-deployment-test1       2025-04-14T12:31:12Z
mail-deployment-test10      2025-04-14T12:31:12Z
test12                      2025-04-14T12:31:12Z
test13                      2025-04-14T12:31:12Z
test14                      2025-04-14T12:31:12Z
test15                      2025-04-14T12:31:12Z
test16                      2025-04-14T12:31:12Z
test17                      2025-04-14T12:31:12Z
test18                      2025-04-14T12:31:12Z
test19                      2025-04-14T12:31:12Z
test4                       2025-04-14T12:31:12Z
test3                       2025-04-14T12:31:12Z
test21                      2025-04-14T12:31:12Z
test20                      2025-04-14T12:31:12Z
web-deployment-test14       2025-04-14T12:31:13Z
sms-service-test13          2025-04-14T12:31:13Z
test5                       2025-04-14T12:31:13Z
test6                       2025-04-14T12:31:13Z
test7                       2025-04-14T12:31:13Z
test8                       2025-04-14T12:31:13Z
test9                       2025-04-14T12:31:13Z
web-deployment-test10       2025-04-14T12:31:13Z
sms-deployment-test12       2025-04-14T12:31:13Z
sms-deployment-test11       2025-04-14T12:31:13Z
web-deployment-test12       2025-04-14T12:31:13Z
sms-deployment-test10       2025-04-14T12:31:13Z
sms-deployment-test13       2025-04-14T12:31:13Z
web-service-test14          2025-04-14T12:31:13Z
web-service-test13          2025-04-14T12:31:13Z
web-service-test12          2025-04-14T12:31:13Z
web-service-test11          2025-04-14T12:31:13Z
web-service-test10          2025-04-14T12:31:13Z
web-service-test1           2025-04-14T12:31:13Z
storage-service-test11      2025-04-14T12:31:13Z
storage-service-test10      2025-04-14T12:31:13Z
sms-deployment-test14       2025-04-14T12:31:13Z
storage-deployment-test1    2025-04-14T12:31:13Z
storage-deployment-test10   2025-04-14T12:31:13Z
storage-deployment-test11   2025-04-14T12:31:13Z
storage-deployment-test12   2025-04-14T12:31:13Z
storage-deployment-test13   2025-04-14T12:31:13Z
storage-deployment-test14   2025-04-14T12:31:13Z
sms-service-test12          2025-04-14T12:31:13Z
sms-service-test11          2025-04-14T12:31:13Z
sms-service-test10          2025-04-14T12:31:13Z
sms-service-test1           2025-04-14T12:31:13Z
