Iteratie 4 - Start time: Mon Apr 14 12:34:58 UTC 2025
Iteratie 4 - Fase: Aanmaken - Mon Apr 14 12:34:58 UTC 2025
NAME                        CREATIONTIME
web-deployment-test6        2025-04-14T12:35:02Z
mail-service-test6          2025-04-14T12:35:02Z
web-deployment-test5        2025-04-14T12:35:02Z
mail-deployment-test5       2025-04-14T12:35:02Z
storage-service-test20      2025-04-14T12:35:02Z
storage-service-test21      2025-04-14T12:35:02Z
mail-deployment-test6       2025-04-14T12:35:02Z
mail-deployment-test7       2025-04-14T12:35:02Z
sms-deployment-test3        2025-04-14T12:35:02Z
sms-deployment-test4        2025-04-14T12:35:02Z
storage-deployment-test5    2025-04-14T12:35:02Z
sms-deployment-test6        2025-04-14T12:35:02Z
web-service-test6           2025-04-14T12:35:02Z
web-service-test5           2025-04-14T12:35:02Z
web-service-test4           2025-04-14T12:35:02Z
mail-service-test4          2025-04-14T12:35:02Z
mail-service-test3          2025-04-14T12:35:02Z
web-service-test3           2025-04-14T12:35:02Z
web-service-test21          2025-04-14T12:35:02Z
web-service-test20          2025-04-14T12:35:02Z
sms-service-test20          2025-04-14T12:35:02Z
web-deployment-test3        2025-04-14T12:35:02Z
web-deployment-test4        2025-04-14T12:35:02Z
sms-service-test21          2025-04-14T12:35:02Z
mail-service-test8          2025-04-14T12:35:03Z
sms-deployment-test7        2025-04-14T12:35:03Z
storage-deployment-test8    2025-04-14T12:35:03Z
sms-service-test5           2025-04-14T12:35:03Z
sms-service-test6           2025-04-14T12:35:03Z
mail-service-test7          2025-04-14T12:35:03Z
storage-deployment-test7    2025-04-14T12:35:03Z
web-service-test7           2025-04-14T12:35:03Z
web-service-test8           2025-04-14T12:35:03Z
web-deployment-test8        2025-04-14T12:35:03Z
sms-deployment-test8        2025-04-14T12:35:03Z
sms-service-test3           2025-04-14T12:35:03Z
mail-deployment-test9       2025-04-14T12:35:03Z
mail-deployment-test8       2025-04-14T12:35:03Z
web-deployment-test7        2025-04-14T12:35:03Z
storage-service-test6       2025-04-14T12:35:03Z
sms-service-test4           2025-04-14T12:35:03Z
storage-service-test5       2025-04-14T12:35:03Z
storage-service-test4       2025-04-14T12:35:03Z
storage-service-test3       2025-04-14T12:35:03Z
web-deployment-test9        2025-04-14T12:35:03Z
storage-deployment-test9    2025-04-14T12:35:04Z
mail-service-test9          2025-04-14T12:35:04Z
sms-service-test8           2025-04-14T12:35:04Z
sms-service-test9           2025-04-14T12:35:04Z
sms-deployment-test9        2025-04-14T12:35:04Z
web-service-test9           2025-04-14T12:35:04Z
storage-service-test9       2025-04-14T12:35:04Z
sms-service-test7           2025-04-14T12:35:04Z
storage-service-test8       2025-04-14T12:35:04Z
storage-service-test7       2025-04-14T12:35:04Z
Iteratie 4 - Fase: Wijzigen - Mon Apr 14 12:35:06 UTC 2025
Iteratie 4 - Update start: Mon Apr 14 12:35:06 UTC 2025
Iteratie 4 - All updated: Mon Apr 14 12:35:09 UTC 2025
Iteratie 4 - Fase: Verwijderen - Mon Apr 14 12:35:14 UTC 2025
Iteratie 4 - Alle resources verwijderd: Mon Apr 14 12:35:42 UTC 2025
