"Time","manager"
2025-04-14 14:26:50,0.00149
2025-04-14 14:27:00,0.00149
2025-04-14 14:27:10,0.00149
2025-04-14 14:27:20,0.0107
2025-04-14 14:27:30,0.0107
2025-04-14 14:27:40,0.0107
2025-04-14 14:27:50,0.000602
2025-04-14 14:28:00,0.000602
2025-04-14 14:28:10,0.000602
2025-04-14 14:28:20,0.0300
2025-04-14 14:28:30,0.0300
2025-04-14 14:28:40,0.0300
2025-04-14 14:28:50,0.000561
2025-04-14 14:29:00,0.000561
2025-04-14 14:29:10,0.000561
2025-04-14 14:29:20,0.000644
2025-04-14 14:29:30,0.000644
2025-04-14 14:29:40,0.000644
2025-04-14 14:29:50,0.0202
2025-04-14 14:30:00,0.0202
2025-04-14 14:30:10,0.0202
2025-04-14 14:30:20,0.000435
2025-04-14 14:30:30,0.000435
2025-04-14 14:30:40,0.000435
2025-04-14 14:30:50,0.000541
2025-04-14 14:31:00,0.000541
2025-04-14 14:31:10,0.000541
2025-04-14 14:31:20,0.000685
2025-04-14 14:31:30,0.000685
2025-04-14 14:31:40,0.000685
2025-04-14 14:31:50,0.000656
2025-04-14 14:32:00,0.000656
2025-04-14 14:32:10,0.000656
2025-04-14 14:32:20,0.0296
2025-04-14 14:32:30,0.0296
2025-04-14 14:32:40,0.0296
2025-04-14 14:32:50,0.000545
2025-04-14 14:33:00,0.000545
2025-04-14 14:33:10,0.000545
2025-04-14 14:33:20,0.000711
2025-04-14 14:33:30,0.000711
2025-04-14 14:33:40,0.000711
2025-04-14 14:33:50,0.000612
2025-04-14 14:34:00,0.000612
2025-04-14 14:34:10,0.000612
2025-04-14 14:34:20,0.000795
2025-04-14 14:34:30,0.000795
2025-04-14 14:34:40,0.000795
2025-04-14 14:34:50,0.00523
2025-04-14 14:35:00,0.00523
2025-04-14 14:35:10,0.00523
2025-04-14 14:35:20,0.00985
2025-04-14 14:35:30,0.00985
2025-04-14 14:35:40,0.00985
2025-04-14 14:35:50,0.000592
2025-04-14 14:36:00,0.000592
2025-04-14 14:36:10,0.000592
2025-04-14 14:36:20,0.0202
2025-04-14 14:36:30,0.0202
2025-04-14 14:36:40,0.0202
2025-04-14 14:36:50,0.000453
2025-04-14 14:37:00,0.000453
2025-04-14 14:37:10,0.000453
2025-04-14 14:37:20,0.000614
2025-04-14 14:37:30,0.000614
2025-04-14 14:37:40,0.000614
2025-04-14 14:37:50,0.0108
2025-04-14 14:38:00,0.0108
2025-04-14 14:38:10,0.0108
2025-04-14 14:38:20,0.000610
2025-04-14 14:38:30,0.000610
2025-04-14 14:38:40,0.000610
2025-04-14 14:38:50,0.0310
2025-04-14 14:39:00,0.0310
2025-04-14 14:39:10,0.0310
2025-04-14 14:39:20,0.00774
2025-04-14 14:39:30,0.00774
2025-04-14 14:39:40,0.00774
2025-04-14 14:39:50,0.000694
2025-04-14 14:40:00,0.000694
2025-04-14 14:40:10,0.000694
2025-04-14 14:40:20,0.0176
2025-04-14 14:40:30,0.0176
2025-04-14 14:40:40,0.0176
2025-04-14 14:40:50,0.000608
2025-04-14 14:41:00,0.000608
2025-04-14 14:41:10,0.000608
2025-04-14 14:41:20,0.000567
2025-04-14 14:41:30,0.000567
2025-04-14 14:41:40,0.000567
2025-04-14 14:41:50,0.000628
