"Time","python-controller"
2025-04-14 12:24:20,0
2025-04-14 12:24:30,0
2025-04-14 12:24:40,0
2025-04-14 12:24:50,0
2025-04-14 12:25:00,0
2025-04-14 12:25:10,0
2025-04-14 12:25:20,0
2025-04-14 12:25:30,0
2025-04-14 12:25:40,0
2025-04-14 12:25:50,0
2025-04-14 12:26:00,0
2025-04-14 12:26:10,0
2025-04-14 12:26:20,0
2025-04-14 12:26:30,0
2025-04-14 12:26:40,0
2025-04-14 12:26:50,0
2025-04-14 12:27:00,0
2025-04-14 12:27:10,0
2025-04-14 12:27:20,0
2025-04-14 12:27:30,0
2025-04-14 12:27:40,0
2025-04-14 12:27:50,0
2025-04-14 12:28:00,0
2025-04-14 12:28:10,0
2025-04-14 12:28:20,0
2025-04-14 12:28:30,0
2025-04-14 12:28:40,0
2025-04-14 12:28:50,0
2025-04-14 12:29:00,0
2025-04-14 12:29:10,0
2025-04-14 12:29:20,0
2025-04-14 12:29:30,0
2025-04-14 12:29:40,0
2025-04-14 12:29:50,0
2025-04-14 12:30:00,0
2025-04-14 12:30:10,0
2025-04-14 12:30:20,0
2025-04-14 12:30:30,0
2025-04-14 12:30:40,0
2025-04-14 12:30:50,0
2025-04-14 12:31:00,0
2025-04-14 12:31:10,0
2025-04-14 12:31:20,0.00340
2025-04-14 12:31:30,0.00340
2025-04-14 12:31:40,0.00340
2025-04-14 12:31:50,0.0881
2025-04-14 12:32:00,0.0881
2025-04-14 12:32:10,0.0881
2025-04-14 12:32:20,0.0000872
2025-04-14 12:32:30,0.0000872
2025-04-14 12:32:40,0.0000872
2025-04-14 12:32:50,0.0799
2025-04-14 12:33:00,0.0799
2025-04-14 12:33:10,0.0799
2025-04-14 12:33:20,0.000721
2025-04-14 12:33:30,0.000721
2025-04-14 12:33:40,0.000721
2025-04-14 12:33:50,0
2025-04-14 12:34:00,0
2025-04-14 12:34:10,0
2025-04-14 12:34:20,0.177
2025-04-14 12:34:30,0.177
2025-04-14 12:34:40,0.177
2025-04-14 12:34:50,0.000258
2025-04-14 12:35:00,0.000258
2025-04-14 12:35:10,0.000258
2025-04-14 12:35:20,0.126
2025-04-14 12:35:30,0.126
2025-04-14 12:35:40,0.126
2025-04-14 12:35:50,0.000125
2025-04-14 12:36:00,0.000125
2025-04-14 12:36:10,0.000125
2025-04-14 12:36:20,0
2025-04-14 12:36:30,0
2025-04-14 12:36:40,0
2025-04-14 12:36:50,0.0938
2025-04-14 12:37:00,0.0938
2025-04-14 12:37:10,0.0938
2025-04-14 12:37:20,0
2025-04-14 12:37:30,0
2025-04-14 12:37:40,0
2025-04-14 12:37:50,0
2025-04-14 12:38:00,0
2025-04-14 12:38:10,0
2025-04-14 12:38:20,0
2025-04-14 12:38:30,0
2025-04-14 12:38:40,0
2025-04-14 12:38:50,0
2025-04-14 12:39:00,0
2025-04-14 12:39:10,0
2025-04-14 12:39:20,0
