Iteratie 1 - Start time: Mon Apr 14 14:34:32 UTC 2025
Iteratie 1 - Fase: Aanmaken - Mon Apr 14 14:34:32 UTC 2025
NAME                        CREATIONTIME
storage-deployment-test1    2025-04-14T14:34:33Z
mail-deployment-test10      2025-04-14T14:34:33Z
mail-deployment-test11      2025-04-14T14:34:33Z
sms-deployment-test1        2025-04-14T14:34:33Z
sms-deployment-test10       2025-04-14T14:34:33Z
sms-deployment-test11       2025-04-14T14:34:33Z
mail-service-test11         2025-04-14T14:34:33Z
mail-service-test10         2025-04-14T14:34:33Z
mail-service-test1          2025-04-14T14:34:33Z
mail-deployment-test1       2025-04-14T14:34:33Z
sms-service-test1           2025-04-14T14:34:33Z
sms-service-test10          2025-04-14T14:34:33Z
sms-service-test11          2025-04-14T14:34:33Z
storage-service-test1       2025-04-14T14:34:33Z
web-deployment-test11       2025-04-14T14:34:33Z
web-deployment-test10       2025-04-14T14:34:33Z
web-deployment-test1        2025-04-14T14:34:33Z
storage-service-test10      2025-04-14T14:34:33Z
test5                       2025-04-14T14:34:33Z
test4                       2025-04-14T14:34:33Z
test3                       2025-04-14T14:34:33Z
storage-service-test11      2025-04-14T14:34:33Z
web-service-test1           2025-04-14T14:34:33Z
web-service-test10          2025-04-14T14:34:33Z
web-service-test11          2025-04-14T14:34:33Z
test21                      2025-04-14T14:34:33Z
test20                      2025-04-14T14:34:33Z
test2                       2025-04-14T14:34:33Z
test19                      2025-04-14T14:34:33Z
test18                      2025-04-14T14:34:33Z
test17                      2025-04-14T14:34:33Z
test16                      2025-04-14T14:34:33Z
test15                      2025-04-14T14:34:33Z
test14                      2025-04-14T14:34:33Z
test13                      2025-04-14T14:34:33Z
test12                      2025-04-14T14:34:33Z
test11                      2025-04-14T14:34:33Z
test10                      2025-04-14T14:34:33Z
test1                       2025-04-14T14:34:33Z
storage-deployment-test11   2025-04-14T14:34:33Z
storage-deployment-test10   2025-04-14T14:34:33Z
sms-deployment-test15       2025-04-14T14:34:34Z
web-deployment-test12       2025-04-14T14:34:34Z
web-service-test15          2025-04-14T14:34:34Z
web-service-test16          2025-04-14T14:34:34Z
storage-deployment-test12   2025-04-14T14:34:34Z
storage-deployment-test13   2025-04-14T14:34:34Z
storage-deployment-test14   2025-04-14T14:34:34Z
storage-deployment-test15   2025-04-14T14:34:34Z
storage-deployment-test16   2025-04-14T14:34:34Z
storage-deployment-test17   2025-04-14T14:34:34Z
web-service-test13          2025-04-14T14:34:34Z
web-service-test12          2025-04-14T14:34:34Z
